Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Dry Maize,Mixed-Traditional ,-,-,Isebania Market, - ,32.00/Kg,45000,Migori,2024-08-27
Dry Maize,White Maize,-,-,Ahero,45.00/Kg,50.00/Kg,7000,Kisumu,2024-08-27
Dry Maize,White Maize,-,-,Nyamakima,44.44/Kg,70.00/Kg,,Nairobi,2024-08-27
Dry Maize,White Maize,-,-,Kathonzweni,35.00/Kg,40.00/Kg,7200,Makueni,2024-08-27
Dry Maize,White Maize,-,-,Kawangware,40.00/Kg,50.00/Kg,,Nairobi,2024-08-27
Dry Maize,Mixed-Traditional ,-,-,Nkubu,33.33/Kg,40.00/Kg,720,Meru,2024-08-27
Dry Maize,White Maize,-,-,Kabiyet Market,45.00/Kg,50.00/Kg,1500,Nandi,2024-08-27
Dry Maize,Mixed-Traditional ,-,-,Kapsabet Market,35.56/Kg,36.00/Kg,10000,Nandi,2024-08-27
Dry Maize,White Maize,-,-,Kapkwen,33.33/Kg,50.00/Kg,22500,Bomet,2024-08-27
Dry Maize,Yellow Maize,-,-,Gikomba, - ,100.00/Kg,,Nairobi,2024-08-27
Dry Maize,White Maize,-,-,Maua,38.89/Kg,50.00/Kg,23400,Meru,2024-08-27
Dry Maize,White Maize,-,-,Gikomba,36.67/Kg,55.00/Kg,,Nairobi,2024-08-27
Dry Maize,Mixed-Traditional ,-,-,Bondeni,30.00/Kg,35.00/Kg,600,Trans-Nzoia,2024-08-27
Dry Maize,White Maize,-,-,Molo, - ,30.00/Kg,1500,Nakuru,2024-08-27
Dry Maize,White Maize,-,-,Eldoret Main,40.00/Kg,50.00/Kg,2000,Uasin-Gishu,2024-08-27
Dry Maize,White Maize,-,-,Ngurubani Market,20.00/Kg,30.00/Kg,8580,Kirinyaga,2024-08-27
Dry Maize,White Maize,-,-,Chebunyo,31.11/Kg,45.00/Kg,21000,Bomet,2024-08-26
Dry Maize,White Maize,-,-,Aram,36.67/Kg,41.53/Kg,7200,Siaya,2024-08-26
Dry Maize,Mixed-Traditional ,-,-,Aram,41.53/Kg,46.15/Kg,3200,Siaya,2024-08-26
Dry Maize,Mixed-Traditional ,-,-,Nyamakima,44.44/Kg,70.00/Kg,,Nairobi,2024-08-26
Dry Maize,Yellow Maize,-,-,Gikomba, - ,100.00/Kg,,Nairobi,2024-08-26
Dry Maize,White Maize,-,-,Gikomba, - ,55.00/Kg,,Nairobi,2024-08-26
Dry Maize,White Maize,-,-,Nyamakima,76.00/Kg,110.00/Kg,,Nairobi,2024-08-26
Dry Maize,White Maize,-,-,Kalundu,36.67/Kg,40.00/Kg,,Kitui,2024-08-26
Dry Maize,White Maize,-,-,Kagio,50.00/Kg,65.00/Kg,,Kirinyaga,2024-08-26
Dry Maize,White Maize,-,-,Kutus,35.00/Kg,40.00/Kg,2600,Kirinyaga,2024-08-26
Dry Maize,White Maize,-,-,Eldoret Main,42.50/Kg,50.00/Kg,5000,Uasin-Gishu,2024-08-26
Dry Maize,White Maize,-,-,Kibiok,50.00/Kg,55.00/Kg,9000,Nandi,2024-08-25
Dry Maize,White Maize,-,-,Keroka,44.44/Kg,50.00/Kg,56000,Nyamira,2024-08-25
Dry Maize,Mixed-Traditional ,-,-,Mumias,26.67/Kg,40.00/Kg,2700,Kakamega,2024-08-25
Dry Maize,Mixed-Traditional ,-,-,Kibuye, - ,37.50/Kg,,Kisumu,2024-08-25
Dry Maize,Yellow Maize,-,-,Kibuye,57.78/Kg,65.00/Kg,,Kisumu,2024-08-25
Dry Maize,White Maize,-,-,Kibuye,37.78/Kg,42.50/Kg,,Kisumu,2024-08-25
Dry Maize,White Maize,-,-,Mghange,30.00/Kg,45.00/Kg,,Taita-Taveta,2024-08-25
Dry Maize,Mixed-Traditional ,-,-,Mwatate,33.33/Kg,35.00/Kg,,Taita-Taveta,2024-08-24
Dry Maize,White Maize,-,-,Isebania Market, - ,32.00/Kg,65000,Migori,2024-08-24
Dry Maize,White Maize,-,-,Serem - Nandi,31.25/Kg,41.67/Kg,20000,Nandi,2024-08-24
